date,value_day
2015-01-01,47
2015-01-02,46
2015-01-03,48
2015-01-04,65
2015-01-05,69
2015-01-06,66
2015-01-07,54
2015-01-08,63
2015-01-09,57
2015-01-10,57
2015-01-11,52
2015-01-12,52
2015-01-13,58
2015-01-14,100
2015-01-15,92
2015-01-16,74
2015-01-17,59
2015-01-18,55
2015-01-19,53
2015-01-20,50
2015-01-21,56
2015-01-22,57
2015-01-23,55
2015-01-24,52
2015-01-25,49
2015-01-26,91
2015-01-27,68
2015-01-28,64
2015-01-29,55
2015-01-30,53
2015-01-31,47
2015-02-01,37
2015-02-02,28
2015-02-03,37
2015-02-04,37
2015-02-05,38
2015-02-06,42
2015-02-07,61
2015-02-08,40
2015-02-09,43
2015-02-10,41
2015-02-11,37
2015-02-12,40
2015-02-13,40
2015-02-14,39
2015-02-15,31
2015-02-16,36
2015-02-17,42
2015-02-18,38
2015-02-19,52
2015-02-20,100
2015-02-21,48
2015-02-22,46
2015-02-23,39
2015-02-24,40
2015-02-25,38
2015-02-26,31
2015-02-27,42
2015-02-28,31
2015-03-01,74
2015-03-02,86
2015-03-03,85
2015-03-04,83
2015-03-05,86
2015-03-06,94
2015-03-07,98
2015-03-08,81
2015-03-09,75
2015-03-10,97
2015-03-11,89
2015-03-12,78
2015-03-13,86
2015-03-14,76
2015-03-15,78
2015-03-16,93
2015-03-17,84
2015-03-18,85
2015-03-19,92
2015-03-20,88
2015-03-21,62
2015-03-22,93
2015-03-23,75
2015-03-24,86
2015-03-25,92
2015-03-26,76
2015-03-27,79
2015-03-28,62
2015-03-29,58
2015-03-30,95
2015-03-31,100
2015-04-01,100
2015-04-02,89
2015-04-03,76
2015-04-04,82
2015-04-05,79
2015-04-06,99
2015-04-07,91
2015-04-08,95
2015-04-09,88
2015-04-10,88
2015-04-11,69
2015-04-12,77
2015-04-13,88
2015-04-14,92
2015-04-15,79
2015-04-16,79
2015-04-17,75
2015-04-18,57
2015-04-19,76
2015-04-20,72
2015-04-21,79
2015-04-22,88
2015-04-23,74
2015-04-24,70
2015-04-25,66
2015-04-26,80
2015-04-27,78
2015-04-28,70
2015-04-29,77
2015-04-30,97
2015-05-01,67
2015-05-02,66
2015-05-03,62
2015-05-04,46
2015-05-05,63
2015-05-06,59
2015-05-07,58
2015-05-08,63
2015-05-09,55
2015-05-10,50
2015-05-11,63
2015-05-12,63
2015-05-13,69
2015-05-14,100
2015-05-15,66
2015-05-16,62
2015-05-17,57
2015-05-18,54
2015-05-19,64
2015-05-20,78
2015-05-21,58
2015-05-22,58
2015-05-23,64
2015-05-24,54
2015-05-25,67
2015-05-26,57
2015-05-27,63
2015-05-28,59
2015-05-29,68
2015-05-30,87
2015-05-31,76
2015-06-01,27
2015-06-02,25
2015-06-03,30
2015-06-04,26
2015-06-05,26
2015-06-06,21
2015-06-07,26
2015-06-08,22
2015-06-09,23
2015-06-10,22
2015-06-11,25
2015-06-12,27
2015-06-13,18
2015-06-14,20
2015-06-15,23
2015-06-16,26
2015-06-17,32
2015-06-18,100
2015-06-19,37
2015-06-20,37
2015-06-21,26
2015-06-22,27
2015-06-23,27
2015-06-24,30
2015-06-25,38
2015-06-26,23
2015-06-27,32
2015-06-28,33
2015-06-29,35
2015-06-30,41
2015-07-01,75
2015-07-02,70
2015-07-03,66
2015-07-04,84
2015-07-05,70
2015-07-06,80
2015-07-07,78
2015-07-08,90
2015-07-09,71
2015-07-10,93
2015-07-11,67
2015-07-12,100
2015-07-13,83
2015-07-14,72
2015-07-15,70
2015-07-16,68
2015-07-17,63
2015-07-18,68
2015-07-19,63
2015-07-20,60
2015-07-21,58
2015-07-22,66
2015-07-23,63
2015-07-24,63
2015-07-25,62
2015-07-26,66
2015-07-27,73
2015-07-28,71
2015-07-29,56
2015-07-30,61
2015-07-31,58
2015-08-01,100
2015-08-02,82
2015-08-03,76
2015-08-04,76
2015-08-05,66
2015-08-06,62
2015-08-07,49
2015-08-08,63
2015-08-09,71
2015-08-10,61
2015-08-11,69
2015-08-12,64
2015-08-13,66
2015-08-14,53
2015-08-15,64
2015-08-16,60
2015-08-17,58
2015-08-18,72
2015-08-19,86
2015-08-20,77
2015-08-21,69
2015-08-22,59
2015-08-23,72
2015-08-24,83
2015-08-25,81
2015-08-26,72
2015-08-27,63
2015-08-28,60
2015-08-29,63
2015-08-30,61
2015-08-31,50
2015-09-01,84
2015-09-02,88
2015-09-03,80
2015-09-04,87
2015-09-05,77
2015-09-06,82
2015-09-07,82
2015-09-08,83
2015-09-09,85
2015-09-10,72
2015-09-11,79
2015-09-12,98
2015-09-13,77
2015-09-14,83
2015-09-15,82
2015-09-16,96
2015-09-17,100
2015-09-18,99
2015-09-19,83
2015-09-20,77
2015-09-21,81
2015-09-22,91
2015-09-23,91
2015-09-24,79
2015-09-25,78
2015-09-26,90
2015-09-27,99
2015-09-28,73
2015-09-29,73
2015-09-30,76
2015-10-01,51
2015-10-02,62
2015-10-03,54
2015-10-04,55
2015-10-05,62
2015-10-06,72
2015-10-07,56
2015-10-08,78
2015-10-09,66
2015-10-10,56
2015-10-11,50
2015-10-12,64
2015-10-13,68
2015-10-14,59
2015-10-15,55
2015-10-16,70
2015-10-17,67
2015-10-18,56
2015-10-19,62
2015-10-20,60
2015-10-21,63
2015-10-22,70
2015-10-23,60
2015-10-24,66
2015-10-25,74
2015-10-26,62
2015-10-27,72
2015-10-28,81
2015-10-29,94
2015-10-30,100
2015-10-31,77
2015-11-01,35
2015-11-02,45
2015-11-03,77
2015-11-04,100
2015-11-05,87
2015-11-06,60
2015-11-07,48
2015-11-08,38
2015-11-09,50
2015-11-10,45
2015-11-11,42
2015-11-12,37
2015-11-13,36
2015-11-14,32
2015-11-15,34
2015-11-16,34
2015-11-17,36
2015-11-18,36
2015-11-19,30
2015-11-20,37
2015-11-21,34
2015-11-22,25
2015-11-23,28
2015-11-24,28
2015-11-25,28
2015-11-26,30
2015-11-27,31
2015-11-28,35
2015-11-29,36
2015-11-30,34
2015-12-01,37
2015-12-02,37
2015-12-03,35
2015-12-04,38
2015-12-05,34
2015-12-06,39
2015-12-07,41
2015-12-08,56
2015-12-09,100
2015-12-10,69
2015-12-11,55
2015-12-12,50
2015-12-13,54
2015-12-14,45
2015-12-15,50
2015-12-16,50
2015-12-17,45
2015-12-18,45
2015-12-19,44
2015-12-20,34
2015-12-21,38
2015-12-22,37
2015-12-23,42
2015-12-24,43
2015-12-25,46
2015-12-26,47
2015-12-27,41
2015-12-28,46
2015-12-29,40
2015-12-30,40
2015-12-31,30
2016-01-01,48
2016-01-02,55
2016-01-03,61
2016-01-04,64
2016-01-05,70
2016-01-06,63
2016-01-07,85
2016-01-08,79
2016-01-09,68
2016-01-10,48
2016-01-11,63
2016-01-12,54
2016-01-13,63
2016-01-14,60
2016-01-15,100
2016-01-16,96
2016-01-17,84
2016-01-18,81
2016-01-19,76
2016-01-20,76
2016-01-21,75
2016-01-22,69
2016-01-23,62
2016-01-24,58
2016-01-25,61
2016-01-26,63
2016-01-27,62
2016-01-28,60
2016-01-29,64
2016-01-30,55
2016-01-31,54
2016-02-01,46
2016-02-02,48
2016-02-03,48
2016-02-04,50
2016-02-05,48
2016-02-06,50
2016-02-07,52
2016-02-08,44
2016-02-09,51
2016-02-10,50
2016-02-11,62
2016-02-12,51
2016-02-13,55
2016-02-14,62
2016-02-15,63
2016-02-16,64
2016-02-17,69
2016-02-18,100
2016-02-19,81
2016-02-20,67
2016-02-21,65
2016-02-22,59
2016-02-23,59
2016-02-24,68
2016-02-25,55
2016-02-26,65
2016-02-27,54
2016-02-28,56
2016-02-29,51
2016-03-01,86
2016-03-02,82
2016-03-03,100
2016-03-04,81
2016-03-05,95
2016-03-06,76
2016-03-07,82
2016-03-08,79
2016-03-09,83
2016-03-10,75
2016-03-11,75
2016-03-12,78
2016-03-13,73
2016-03-14,81
2016-03-15,82
2016-03-16,71
2016-03-17,79
2016-03-18,70
2016-03-19,69
2016-03-20,76
2016-03-21,76
2016-03-22,72
2016-03-23,68
2016-03-24,66
2016-03-25,60
2016-03-26,61
2016-03-27,73
2016-03-28,78
2016-03-29,68
2016-03-30,78
2016-03-31,84
2016-04-01,75
2016-04-02,78
2016-04-03,74
2016-04-04,71
2016-04-05,92
2016-04-06,70
2016-04-07,85
2016-04-08,78
2016-04-09,60
2016-04-10,92
2016-04-11,86
2016-04-12,78
2016-04-13,79
2016-04-14,76
2016-04-15,69
2016-04-16,79
2016-04-17,72
2016-04-18,77
2016-04-19,85
2016-04-20,76
2016-04-21,93
2016-04-22,84
2016-04-23,77
2016-04-24,100
2016-04-25,90
2016-04-26,90
2016-04-27,98
2016-04-28,99
2016-04-29,86
2016-04-30,90
2016-05-01,32
2016-05-02,100
2016-05-03,61
2016-05-04,45
2016-05-05,49
2016-05-06,42
2016-05-07,43
2016-05-08,38
2016-05-09,42
2016-05-10,39
2016-05-11,37
2016-05-12,39
2016-05-13,36
2016-05-14,35
2016-05-15,34
2016-05-16,30
2016-05-17,37
2016-05-18,34
2016-05-19,37
2016-05-20,40
2016-05-21,35
2016-05-22,30
2016-05-23,31
2016-05-24,34
2016-05-25,34
2016-05-26,30
2016-05-27,41
2016-05-28,52
2016-05-29,55
2016-05-30,51
2016-05-31,49
2016-06-01,48
2016-06-02,45
2016-06-03,50
2016-06-04,45
2016-06-05,47
2016-06-06,52
2016-06-07,49
2016-06-08,44
2016-06-09,42
2016-06-10,41
2016-06-11,38
2016-06-12,71
2016-06-13,84
2016-06-14,70
2016-06-15,64
2016-06-16,84
2016-06-17,79
2016-06-18,66
2016-06-19,56
2016-06-20,59
2016-06-21,75
2016-06-22,62
2016-06-23,73
2016-06-24,100
2016-06-25,70
2016-06-26,52
2016-06-27,57
2016-06-28,54
2016-06-29,51
2016-06-30,52
2016-07-01,72
2016-07-02,66
2016-07-03,67
2016-07-04,64
2016-07-05,62
2016-07-06,72
2016-07-07,74
2016-07-08,62
2016-07-09,100
2016-07-10,76
2016-07-11,68
2016-07-12,68
2016-07-13,59
2016-07-14,57
2016-07-15,58
2016-07-16,61
2016-07-17,55
2016-07-18,55
2016-07-19,55
2016-07-20,50
2016-07-21,54
2016-07-22,47
2016-07-23,45
2016-07-24,47
2016-07-25,50
2016-07-26,51
2016-07-27,54
2016-07-28,47
2016-07-29,50
2016-07-30,49
2016-07-31,50
2016-08-01,37
2016-08-02,55
2016-08-03,100
2016-08-04,56
2016-08-05,44
2016-08-06,41
2016-08-07,46
2016-08-08,46
2016-08-09,38
2016-08-10,35
2016-08-11,34
2016-08-12,29
2016-08-13,31
2016-08-14,31
2016-08-15,34
2016-08-16,32
2016-08-17,38
2016-08-18,33
2016-08-19,37
2016-08-20,27
2016-08-21,30
2016-08-22,32
2016-08-23,36
2016-08-24,36
2016-08-25,38
2016-08-26,34
2016-08-27,33
2016-08-28,28
2016-08-29,30
2016-08-30,31
2016-08-31,38
2016-09-01,82
2016-09-02,78
2016-09-03,78
2016-09-04,88
2016-09-05,89
2016-09-06,93
2016-09-07,88
2016-09-08,94
2016-09-09,85
2016-09-10,90
2016-09-11,85
2016-09-12,93
2016-09-13,94
2016-09-14,84
2016-09-15,89
2016-09-16,85
2016-09-17,74
2016-09-18,75
2016-09-19,69
2016-09-20,87
2016-09-21,86
2016-09-22,86
2016-09-23,80
2016-09-24,100
2016-09-25,69
2016-09-26,78
2016-09-27,70
2016-09-28,69
2016-09-29,70
2016-09-30,80
2016-10-01,73
2016-10-02,77
2016-10-03,71
2016-10-04,68
2016-10-05,67
2016-10-06,62
2016-10-07,61
2016-10-08,60
2016-10-09,66
2016-10-10,70
2016-10-11,82
2016-10-12,76
2016-10-13,72
2016-10-14,69
2016-10-15,64
2016-10-16,68
2016-10-17,76
2016-10-18,63
2016-10-19,74
2016-10-20,65
2016-10-21,65
2016-10-22,79
2016-10-23,81
2016-10-24,81
2016-10-25,78
2016-10-26,76
2016-10-27,88
2016-10-28,82
2016-10-29,100
2016-10-30,88
2016-10-31,86
2016-11-01,80
2016-11-02,69
2016-11-03,72
2016-11-04,67
2016-11-05,60
2016-11-06,61
2016-11-07,60
2016-11-08,54
2016-11-09,100
2016-11-10,67
2016-11-11,58
2016-11-12,61
2016-11-13,61
2016-11-14,61
2016-11-15,69
2016-11-16,62
2016-11-17,70
2016-11-18,73
2016-11-19,75
2016-11-20,61
2016-11-21,59
2016-11-22,69
2016-11-23,75
2016-11-24,65
2016-11-25,64
2016-11-26,48
2016-11-27,58
2016-11-28,64
2016-11-29,62
2016-11-30,78
2016-12-01,54
2016-12-02,57
2016-12-03,49
2016-12-04,49
2016-12-05,57
2016-12-06,62
2016-12-07,58
2016-12-08,62
2016-12-09,57
2016-12-10,60
2016-12-11,52
2016-12-12,52
2016-12-13,59
2016-12-14,55
2016-12-15,50
2016-12-16,56
2016-12-17,60
2016-12-18,43
2016-12-19,53
2016-12-20,54
2016-12-21,76
2016-12-22,91
2016-12-23,100
2016-12-24,84
2016-12-25,84
2016-12-26,76
2016-12-27,85
2016-12-28,99
2016-12-29,94
2016-12-30,91
2016-12-31,80
2017-01-01,43
2017-01-02,75
2017-01-03,62
2017-01-04,71
2017-01-05,100
2017-01-06,83
2017-01-07,65
2017-01-08,55
2017-01-09,52
2017-01-10,49
2017-01-11,59
2017-01-12,57
2017-01-13,47
2017-01-14,44
2017-01-15,43
2017-01-16,43
2017-01-17,43
2017-01-18,41
2017-01-19,45
2017-01-20,36
2017-01-21,36
2017-01-22,36
2017-01-23,38
2017-01-24,41
2017-01-25,37
2017-01-26,39
2017-01-27,35
2017-01-28,36
2017-01-29,37
2017-01-30,37
2017-01-31,37
2017-02-01,70
2017-02-02,71
2017-02-03,76
2017-02-04,67
2017-02-05,60
2017-02-06,64
2017-02-07,65
2017-02-08,72
2017-02-09,75
2017-02-10,73
2017-02-11,65
2017-02-12,60
2017-02-13,63
2017-02-14,56
2017-02-15,57
2017-02-16,62
2017-02-17,56
2017-02-18,61
2017-02-19,54
2017-02-20,53
2017-02-21,77
2017-02-22,70
2017-02-23,85
2017-02-24,100
2017-02-25,74
2017-02-26,66
2017-02-27,68
2017-02-28,75
2017-03-01,46
2017-03-02,73
2017-03-03,78
2017-03-04,59
2017-03-05,50
2017-03-06,56
2017-03-07,58
2017-03-08,56
2017-03-09,54
2017-03-10,100
2017-03-11,76
2017-03-12,57
2017-03-13,54
2017-03-14,47
2017-03-15,49
2017-03-16,53
2017-03-17,52
2017-03-18,62
2017-03-19,54
2017-03-20,52
2017-03-21,48
2017-03-22,47
2017-03-23,46
2017-03-24,49
2017-03-25,49
2017-03-26,49
2017-03-27,46
2017-03-28,43
2017-03-29,46
2017-03-30,38
2017-03-31,41
2017-04-01,80
2017-04-02,70
2017-04-03,79
2017-04-04,85
2017-04-05,77
2017-04-06,82
2017-04-07,85
2017-04-08,73
2017-04-09,72
2017-04-10,72
2017-04-11,79
2017-04-12,79
2017-04-13,80
2017-04-14,66
2017-04-15,72
2017-04-16,76
2017-04-17,74
2017-04-18,87
2017-04-19,73
2017-04-20,76
2017-04-21,78
2017-04-22,76
2017-04-23,66
2017-04-24,71
2017-04-25,84
2017-04-26,93
2017-04-27,100
2017-04-28,93
2017-04-29,85
2017-04-30,83
2017-05-01,20
2017-05-02,21
2017-05-03,20
2017-05-04,31
2017-05-05,24
2017-05-06,20
2017-05-07,20
2017-05-08,22
2017-05-09,32
2017-05-10,28
2017-05-11,34
2017-05-12,35
2017-05-13,35
2017-05-14,30
2017-05-15,36
2017-05-16,34
2017-05-17,29
2017-05-18,26
2017-05-19,35
2017-05-20,35
2017-05-21,37
2017-05-22,72
2017-05-23,70
2017-05-24,73
2017-05-25,100
2017-05-26,82
2017-05-27,61
2017-05-28,44
2017-05-29,40
2017-05-30,45
2017-05-31,44
2017-06-01,71
2017-06-02,61
2017-06-03,60
2017-06-04,51
2017-06-05,61
2017-06-06,94
2017-06-07,84
2017-06-08,70
2017-06-09,70
2017-06-10,66
2017-06-11,68
2017-06-12,97
2017-06-13,77
2017-06-14,76
2017-06-15,100
2017-06-16,71
2017-06-17,57
2017-06-18,49
2017-06-19,54
2017-06-20,65
2017-06-21,69
2017-06-22,61
2017-06-23,56
2017-06-24,53
2017-06-25,48
2017-06-26,63
2017-06-27,74
2017-06-28,64
2017-06-29,56
2017-06-30,49
2017-07-01,55
2017-07-02,65
2017-07-03,58
2017-07-04,63
2017-07-05,71
2017-07-06,69
2017-07-07,67
2017-07-08,60
2017-07-09,53
2017-07-10,79
2017-07-11,78
2017-07-12,80
2017-07-13,73
2017-07-14,73
2017-07-15,82
2017-07-16,90
2017-07-17,86
2017-07-18,90
2017-07-19,84
2017-07-20,100
2017-07-21,99
2017-07-22,78
2017-07-23,79
2017-07-24,80
2017-07-25,88
2017-07-26,80
2017-07-27,76
2017-07-28,90
2017-07-29,69
2017-07-30,66
2017-07-31,93
2017-08-01,100
2017-08-02,81
2017-08-03,53
2017-08-04,50
2017-08-05,66
2017-08-06,50
2017-08-07,61
2017-08-08,65
2017-08-09,58
2017-08-10,54
2017-08-11,56
2017-08-12,70
2017-08-13,83
2017-08-14,98
2017-08-15,91
2017-08-16,81
2017-08-17,79
2017-08-18,73
2017-08-19,67
2017-08-20,62
2017-08-21,60
2017-08-22,72
2017-08-23,66
2017-08-24,62
2017-08-25,61
2017-08-26,53
2017-08-27,45
2017-08-28,51
2017-08-29,64
2017-08-30,64
2017-08-31,70
2017-09-01,72
2017-09-02,71
2017-09-03,61
2017-09-04,69
2017-09-05,70
2017-09-06,57
2017-09-07,50
2017-09-08,63
2017-09-09,47
2017-09-10,43
2017-09-11,50
2017-09-12,62
2017-09-13,80
2017-09-14,100
2017-09-15,97
2017-09-16,61
2017-09-17,53
2017-09-18,62
2017-09-19,59
2017-09-20,48
2017-09-21,55
2017-09-22,51
2017-09-23,40
2017-09-24,35
2017-09-25,45
2017-09-26,43
2017-09-27,48
2017-09-28,46
2017-09-29,44
2017-09-30,41
2017-10-01,37
2017-10-02,41
2017-10-03,42
2017-10-04,38
2017-10-05,40
2017-10-06,38
2017-10-07,35
2017-10-08,38
2017-10-09,49
2017-10-10,52
2017-10-11,46
2017-10-12,87
2017-10-13,100
2017-10-14,65
2017-10-15,64
2017-10-16,68
2017-10-17,66
2017-10-18,67
2017-10-19,63
2017-10-20,81
2017-10-21,83
2017-10-22,65
2017-10-23,76
2017-10-24,80
2017-10-25,73
2017-10-26,74
2017-10-27,65
2017-10-28,58
2017-10-29,59
2017-10-30,71
2017-10-31,84
2017-11-01,19
2017-11-02,31
2017-11-03,25
2017-11-04,22
2017-11-05,20
2017-11-06,23
2017-11-07,20
2017-11-08,24
2017-11-09,20
2017-11-10,25
2017-11-11,23
2017-11-12,30
2017-11-13,25
2017-11-14,20
2017-11-15,21
2017-11-16,21
2017-11-17,27
2017-11-18,22
2017-11-19,19
2017-11-20,24
2017-11-21,26
2017-11-22,22
2017-11-23,19
2017-11-24,20
2017-11-25,21
2017-11-26,34
2017-11-27,47
2017-11-28,56
2017-11-29,100
2017-11-30,79
2017-12-01,34
2017-12-02,25
2017-12-03,24
2017-12-04,29
2017-12-05,29
2017-12-06,43
2017-12-07,100
2017-12-08,86
2017-12-09,53
2017-12-10,49
2017-12-11,57
2017-12-12,56
2017-12-13,48
2017-12-14,40
2017-12-15,37
2017-12-16,39
2017-12-17,38
2017-12-18,41
2017-12-19,42
2017-12-20,67
2017-12-21,44
2017-12-22,91
2017-12-23,53
2017-12-24,38
2017-12-25,32
2017-12-26,34
2017-12-27,31
2017-12-28,33
2017-12-29,26
2017-12-30,26
2017-12-31,20
2018-01-01,38
2018-01-02,48
2018-01-03,49
2018-01-04,45
2018-01-05,46
2018-01-06,40
2018-01-07,37
2018-01-08,44
2018-01-09,40
2018-01-10,44
2018-01-11,54
2018-01-12,38
2018-01-13,32
2018-01-14,30
2018-01-15,28
2018-01-16,71
2018-01-17,100
2018-01-18,66
2018-01-19,44
2018-01-20,33
2018-01-21,30
2018-01-22,39
2018-01-23,39
2018-01-24,36
2018-01-25,34
2018-01-26,31
2018-01-27,27
2018-01-28,25
2018-01-29,28
2018-01-30,31
2018-01-31,35
2018-02-01,56
2018-02-02,81
2018-02-03,50
2018-02-04,38
2018-02-05,77
2018-02-06,100
2018-02-07,63
2018-02-08,52
2018-02-09,43
2018-02-10,34
2018-02-11,32
2018-02-12,32
2018-02-13,30
2018-02-14,31
2018-02-15,32
2018-02-16,32
2018-02-17,29
2018-02-18,32
2018-02-19,26
2018-02-20,29
2018-02-21,30
2018-02-22,28
2018-02-23,25
2018-02-24,22
2018-02-25,21
2018-02-26,23
2018-02-27,25
2018-02-28,26
2018-03-01,65
2018-03-02,70
2018-03-03,65
2018-03-04,62
2018-03-05,66
2018-03-06,70
2018-03-07,77
2018-03-08,82
2018-03-09,90
2018-03-10,68
2018-03-11,65
2018-03-12,74
2018-03-13,71
2018-03-14,83
2018-03-15,100
2018-03-16,80
2018-03-17,69
2018-03-18,90
2018-03-19,74
2018-03-20,70
2018-03-21,71
2018-03-22,70
2018-03-23,65
2018-03-24,53
2018-03-25,51
2018-03-26,66
2018-03-27,68
2018-03-28,67
2018-03-29,85
2018-03-30,93
2018-03-31,62
2018-04-01,93
2018-04-02,90
2018-04-03,94
2018-04-04,87
2018-04-05,87
2018-04-06,88
2018-04-07,72
2018-04-08,66
2018-04-09,86
2018-04-10,78
2018-04-11,73
2018-04-12,96
2018-04-13,93
2018-04-14,69
2018-04-15,67
2018-04-16,74
2018-04-17,75
2018-04-18,75
2018-04-19,74
2018-04-20,75
2018-04-21,68
2018-04-22,67
2018-04-23,76
2018-04-24,100
2018-04-25,85
2018-04-26,72
2018-04-27,69
2018-04-28,54
2018-04-29,54
2018-04-30,63
2018-05-01,81
2018-05-02,78
2018-05-03,90
2018-05-04,84
2018-05-05,83
2018-05-06,77
2018-05-07,89
2018-05-08,87
2018-05-09,87
2018-05-10,77
2018-05-11,100
2018-05-12,73
2018-05-13,73
2018-05-14,79
2018-05-15,78
2018-05-16,75
2018-05-17,77
2018-05-18,79
2018-05-19,60
2018-05-20,63
2018-05-21,70
2018-05-22,73
2018-05-23,93
2018-05-24,97
2018-05-25,74
2018-05-26,62
2018-05-27,63
2018-05-28,72
2018-05-29,74
2018-05-30,75
2018-05-31,73
2018-06-01,51
2018-06-02,49
2018-06-03,49
2018-06-04,55
2018-06-05,51
2018-06-06,52
2018-06-07,50
2018-06-08,49
2018-06-09,46
2018-06-10,72
2018-06-11,100
2018-06-12,73
2018-06-13,89
2018-06-14,82
2018-06-15,62
2018-06-16,49
2018-06-17,49
2018-06-18,60
2018-06-19,59
2018-06-20,59
2018-06-21,52
2018-06-22,72
2018-06-23,65
2018-06-24,74
2018-06-25,66
2018-06-26,59
2018-06-27,64
2018-06-28,57
2018-06-29,79
2018-06-30,70
2018-07-01,64
2018-07-02,79
2018-07-03,62
2018-07-04,59
2018-07-05,63
2018-07-06,62
2018-07-07,47
2018-07-08,60
2018-07-09,58
2018-07-10,66
2018-07-11,62
2018-07-12,63
2018-07-13,61
2018-07-14,57
2018-07-15,47
2018-07-16,61
2018-07-17,88
2018-07-18,96
2018-07-19,75
2018-07-20,74
2018-07-21,58
2018-07-22,53
2018-07-23,71
2018-07-24,100
2018-07-25,92
2018-07-26,83
2018-07-27,85
2018-07-28,61
2018-07-29,60
2018-07-30,75
2018-07-31,76
2018-08-01,76
2018-08-02,64
2018-08-03,74
2018-08-04,65
2018-08-05,65
2018-08-06,70
2018-08-07,74
2018-08-08,100
2018-08-09,79
2018-08-10,75
2018-08-11,71
2018-08-12,61
2018-08-13,71
2018-08-14,99
2018-08-15,85
2018-08-16,76
2018-08-17,68
2018-08-18,58
2018-08-19,51
2018-08-20,62
2018-08-21,69
2018-08-22,74
2018-08-23,69
2018-08-24,62
2018-08-25,60
2018-08-26,51
2018-08-27,65
2018-08-28,75
2018-08-29,69
2018-08-30,57
2018-08-31,56
2018-09-01,62
2018-09-02,61
2018-09-03,57
2018-09-04,64
2018-09-05,85
2018-09-06,100
2018-09-07,77
2018-09-08,61
2018-09-09,57
2018-09-10,69
2018-09-11,74
2018-09-12,76
2018-09-13,76
2018-09-14,60
2018-09-15,51
2018-09-16,48
2018-09-17,55
2018-09-18,59
2018-09-19,59
2018-09-20,58
2018-09-21,63
2018-09-22,55
2018-09-23,51
2018-09-24,56
2018-09-25,57
2018-09-26,60
2018-09-27,56
2018-09-28,55
2018-09-29,46
2018-09-30,45
2018-10-01,63
2018-10-02,67
2018-10-03,64
2018-10-04,63
2018-10-05,56
2018-10-06,55
2018-10-07,52
2018-10-08,59
2018-10-09,57
2018-10-10,68
2018-10-11,100
2018-10-12,75
2018-10-13,61
2018-10-14,53
2018-10-15,77
2018-10-16,75
2018-10-17,58
2018-10-18,60
2018-10-19,56
2018-10-20,52
2018-10-21,51
2018-10-22,54
2018-10-23,64
2018-10-24,61
2018-10-25,58
2018-10-26,54
2018-10-27,51
2018-10-28,43
2018-10-29,68
2018-10-30,66
2018-10-31,67
2018-11-01,33
2018-11-02,30
2018-11-03,26
2018-11-04,31
2018-11-05,33
